i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
0	385.5667	-560.2884	678348.5667	3531602.7116	239638.5755	7.1211e+05
1	449.3830	-664.9879	678412.3830	3531498.0121	270222.6942	6.7326e+05
2	521.4681	-785.2497	678484.4681	3531377.7503	315540.8519	6.3653e+05
3	601.9064	-917.2611	678564.9064	3531245.7389	365266.5644	6.0183e+05
4	692.1147	-1055.7366	678655.1147	3531107.2634	418543.9895	5.6903e+05
5	792.4735	-1198.0992	678755.4735	3530964.9008	477793.6314	5.3803e+05
6	902.1024	-1342.7551	678865.1024	3530820.2449	544766.2240	5.0872e+05
7	1020.4918	-1488.5721	678983.4918	3530674.4279	620502.9261	4.8103e+05
8	1146.3006	-1633.8749	679109.3006	3530529.1251	705225.9504	4.5485e+05
9	1278.0057	-1777.1827	679241.0057	3530385.8173	798116.8522	4.3010e+05
10	1414.4928	-1917.5400	679377.4928	3530245.4600	898862.2991	4.0671e+05
11	1555.6844	-2054.3876	679518.6844	3530108.6124	1007468.3132	3.8460e+05
12	1701.5524	-2187.2937	679664.5524	3529975.7063	1123839.8328	3.6370e+05
13	1850.8747	-2316.5175	679813.8747	3529846.4825	1247821.5362	3.4394e+05
14	2003.2516	-2442.0234	679966.2516	3529720.9766	1379184.8022	3.2526e+05
15	2159.0059	-2563.3540	680122.0059	3529599.6460	1517641.4366	3.0761e+05
16	2318.0580	-2680.2171	680281.0580	3529482.7829	1662870.3473	2.9091e+05
17	2479.0934	-2793.2699	680442.0934	3529369.7301	1814539.1285	2.7513e+05
18	2642.2460	-2902.2518	680605.2460	3529260.7482	1972268.3317	2.6021e+05
19	2808.1256	-3006.3974	680771.1256	3529156.6026	2135650.5504	2.4610e+05
20	2975.0134	-3106.9102	680938.0134	3529056.0898	2304300.9306	2.3276e+05
21	3143.6347	-3203.0251	681106.6347	3528959.9749	2477782.8493	2.2015e+05
22	3313.6688	-3295.1528	681276.6688	3528867.8472	2655669.3899	2.0823e+05
23	3483.8361	-3384.3145	681446.8361	3528778.6855	2834387.0965	1.9696e+05
24	3655.4473	-3470.8751	681618.4473	3528692.1249	3019189.9459	1.8630e+05
25	3826.2385	-3555.8833	681789.2385	3528607.1167	3206633.1771	1.7622e+05
26	3997.6641	-3639.1079	681960.6641	3528523.8921	3396201.9213	1.6669e+05
27	4168.3906	-3720.7457	682131.3906	3528442.2543	3587453.3765	1.5767e+05
28	4339.2330	-3800.6380	682302.2330	3528362.3620	3779930.3379	1.4915e+05
29	4509.3202	-3878.9373	682472.3202	3528284.0627	3973228.4797	1.4109e+05
30	4679.2956	-3955.5050	682642.2956	3528207.4950	4166939.3621	1.3347e+05
31	4848.2204	-4030.5480	682811.2204	3528132.4520	4360704.3130	1.2626e+05
32	5017.0769	-4103.8242	682980.0769	3528059.1758	4554151.2841	1.1945e+05
33	5184.3605	-4175.7351	683147.3605	3527987.2649	4746972.2180	1.1300e+05
34	5351.8717	-4245.7730	683314.8717	3527917.2270	4938818.4091	1.0690e+05
35	5517.6865	-4314.5137	683480.6865	3527848.4863	5129425.3440	1.0114e+05
36	5683.0335	-4381.5788	683646.0335	3527781.4212	5318488.0199	9.5685e+04
37	5847.2622	-4447.1961	683810.2622	3527715.8039	5505927.7501	9.0528e+04
38	6009.9548	-4511.5064	683972.9548	3527651.4936	5692247.0052	8.5650e+04
39	6172.3788	-4574.0705	684135.3788	3527588.9295	5877212.7287	8.1036e+04
40	6333.0223	-4635.4365	684296.0223	3527527.5635	6060565.5822	7.6673e+04
41	6492.3993	-4695.4185	684455.3993	3527467.5815	6242023.9972	7.2545e+04
42	6650.9719	-4753.8522	684613.9719	3527409.1478	6421321.4424	6.8641e+04
43	6807.7248	-4811.1467	684770.7248	3527351.8533	6598231.9501	6.4948e+04
44	6963.0431	-4867.1567	684926.0431	3527295.8433	6772516.5477	6.1455e+04
45	7117.4943	-4921.6605	685080.4943	3527241.3395	6943945.0208	5.8150e+04
46	7270.0976	-4975.0892	685233.0976	3527187.9108	7112327.3896	5.5025e+04
47	7420.8605	-5027.4580	685383.8605	3527135.5420	7277466.3126	5.2068e+04
48	7570.7841	-5078.3300	685533.7841	3527084.6700	7439156.2633	4.9271e+04
49	7719.0107	-5128.1148	685682.0107	3527034.8852	7597236.4272	4.6624e+04
50	7865.3758	-5176.9065	685828.3758	3526986.0935	7751542.4449	4.4121e+04
51	8009.8877	-5224.7206	685972.8877	3526938.2794	7901915.7372	4.1753e+04
52	8153.4973	-5271.1750	686116.4973	3526891.8250	8048189.7095	3.9512e+04
53	8295.3198	-5316.6618	686258.3198	3526846.3382	8181248.8201	3.7393e+04
54	8435.2202	-5361.2407	686398.2202	3526801.7593	8319371.4091	3.5387e+04
55	8573.1214	-5404.9052	686536.1214	3526758.0948	8453279.4751	3.3490e+04
56	8709.0745	-5447.5990	686672.0745	3526715.4010	8582499.4328	3.1695e+04
57	8843.6200	-5489.0862	686806.6200	3526673.9138	8706573.8474	2.9997e+04
58	8975.9163	-5529.6556	686938.9163	3526633.3444	8825095.8115	2.8390e+04
59	9105.9077	-5569.3045	687068.9077	3526593.6955	8937671.0065	2.6869e+04
60	9233.5430	-5608.0318	687196.5430	3526554.9682	9043932.3649	2.5431e+04
61	9358.7759	-5645.8380	687321.7759	3526517.1620	9143540.6804	2.4069e+04
62	9481.5645	-5682.7257	687444.5645	3526480.2743	9236185.1211	2.2781e+04
63	9597.7356	-5717.3956	687560.7356	3526445.6044	9321308.5634	2.1563e+04
64	9704.3970	-5748.9526	687667.3970	3526414.0474	9398467.9614	2.0409e+04
